先頭,受注番号,お客様コードNo,郵便番号,住所,顧客名,電話番号,受注顧客No,年,月,日,担当,伝票番号,摘要,品名,数量,単位,単価,金額,備考,合計
0,360323,"040038","242-0023","神奈川県大和市渋谷六丁目16番地3 小田急ﾏﾙｼｪ2F","エイトナイン歯科クリニック様","046-268-0069","10000580","2021","12","21","関東営業部",12,"","Ｂ５ 歯科診療録(部位なし) 黒1号紙",1,"",2000,2000,"",12078
0,360323,"040038","242-0023","神奈川県大和市渋谷六丁目16番地3 小田急ﾏﾙｼｪ2F","エイトナイン歯科クリニック様","046-268-0069","10000580","2021","12","21","関東営業部",12,"","Ｂ５ 歯科診療録(部位なし) 青1号紙",1,"",2000,2000,"",12078
0,360323,"040038","242-0023","神奈川県大和市渋谷六丁目16番地3 小田急ﾏﾙｼｪ2F","エイトナイン歯科クリニック様","046-268-0069","10000580","2021","12","21","関東営業部",12,"","送料(980)",0,"",0,980,"",12078
0,360323,"040038","242-0023","神奈川県大和市渋谷六丁目16番地3 小田急ﾏﾙｼｪ2F","エイトナイン歯科クリニック様","046-268-0069","10000580","2021","12","21","関東営業部",12,"","消費税","","","",1098,"",12078
1,360324,"240077","020-0021","岩手県盛岡市中央通3-14-29","関歯科・口腔医療クリニック様","019-606-1236","20003368","2021","12","21","東日本営業部",13,"","領収証 (ｵｰﾊﾞｰﾚｲ) B5",1,"",3100,3100,"",4488
0,360324,"240077","020-0021","岩手県盛岡市中央通3-14-29","関歯科・口腔医療クリニック様","019-606-1236","20003368","2021","12","21","東日本営業部",13,"","送料(980)",0,"",0,980,"",4488
0,360324,"240077","020-0021","岩手県盛岡市中央通3-14-29","関歯科・口腔医療クリニック様","019-606-1236","20003368","2021","12","21","東日本営業部",13,"","消費税","","","",408,"",4488
1,360325,"520483","519-0505","三重県伊勢市小俣町本町９０番地","東山歯科医院様","0596-24-9500","10048311","2021","12","21","中部営業部",14,"","Ｂ５ 歯科診療録(部位なし) 青1号紙",1,"",2000,2000,"",3278
0,360325,"520483","519-0505","三重県伊勢市小俣町本町９０番地","東山歯科医院様","0596-24-9500","10048311","2021","12","21","中部営業部",14,"","送料(980)",0,"",0,980,"",3278
0,360325,"520483","519-0505","三重県伊勢市小俣町本町９０番地","東山歯科医院様","0596-24-9500","10048311","2021","12","21","中部営業部",14,"","消費税","","","",298,"",3278
1,360326,"030219","351-0005","埼玉県朝霞市根岸台6-1-3","牛山デンタルクリニック様","048-461-7865","10013981","2021","12","21","関東営業部",15,"","Ｂ５ 歯科診療録(部位なし) 黒2号紙",1,"",2000,2000,"",3278
0,360326,"030219","351-0005","埼玉県朝霞市根岸台6-1-3","牛山デンタルクリニック様","048-461-7865","10013981","2021","12","21","関東営業部",15,"","送料(980)",0,"",0,980,"",3278
0,360326,"030219","351-0005","埼玉県朝霞市根岸台6-1-3","牛山デンタルクリニック様","048-461-7865","10013981","2021","12","21","関東営業部",15,"","消費税","","","",298,"",3278
1,360327,"310289","154-0017","東京都世田谷区世田谷1-16-22","田中歯科クリニック様","03-3429-8032","10002355","2021","12","21","首都圏営業部",16,"","ﾘｺｰ(ﾄﾅｰｶｰﾄﾘｯｼﾞ) SPﾄﾅｰ 4500H/600544",1,"",31000,31000,"",35178
0,360327,"310289","154-0017","東京都世田谷区世田谷1-16-22","田中歯科クリニック様","03-3429-8032","10002355","2021","12","21","首都圏営業部",16,"","送料(980)",0,"",0,980,"",35178
0,360327,"310289","154-0017","東京都世田谷区世田谷1-16-22","田中歯科クリニック様","03-3429-8032","10002355","2021","12","21","首都圏営業部",16,"","消費税","","","",3198,"",35178
